,Date,Symbols,Close,High,Low,Open,Volume
1011,2020-04-06,PFE,33.192,33.509,32.433,32.567,40024115
1012,2020-04-06,BNTX,52.73,55.6,52.4,55.5,331184
1013,2020-04-06,MRNA,34.64,35.185,33.33,34.91,10841594
1014,2020-04-03,AMZN,1906.59,1926.33,1889.15,1911.15,3609870
1015,2020-04-03,GOOGL,1092.7,1118.79,1075.08,1114.71,2568694
1016,2020-04-03,FB,154.18,157.91,150.83,157.15,25983317
1017,2020-04-03,PFE,32.299,32.539,31.328000000000003,31.328000000000003,32448934
1018,2020-04-03,BNTX,52.75,57.98,52.01,57.98,227301
1019,2020-04-03,MRNA,34.84,35.66,32.72,32.81,16896224
1020,2020-04-02,AMZN,1918.83,1927.5258,1890.0,1901.64,4335985
1021,2020-04-02,GOOGL,1117.03,1122.77,1093.13,1100.0,2820534
1022,2020-04-02,FB,158.19,161.3509,155.92,159.1,20886309
1023,2020-04-02,PFE,31.56,31.684,30.484,30.628,26865337
1024,2020-04-02,BNTX,56.91,56.93,53.0,55.5,245896
1025,2020-04-02,MRNA,33.2,33.39,29.84,30.6,15934404
1026,2020-04-01,AMZN,1907.7,1944.96,1893.0,1932.97,4121875
1027,2020-04-01,GOOGL,1102.1,1129.42,1093.49,1124.0,2598519
1028,2020-04-01,FB,159.6,164.15,158.035,161.615,19507559
1029,2020-04-01,PFE,30.484,30.993000000000002,30.273000000000003,30.647,26393683
1030,2020-04-01,BNTX,52.92,58.195,52.48,56.35,259110
1031,2020-04-01,MRNA,29.67,30.94,29.44,30.05,7004587
1032,2020-03-31,AMZN,1949.72,1993.02,1944.01,1964.35,5123626
1033,2020-03-31,GOOGL,1161.95,1173.4,1136.72,1148.73,3263971
1034,2020-03-31,FB,166.8,170.93,164.2,165.48,23676283
1035,2020-03-31,PFE,31.338,31.684,30.949,31.108,29120805
1036,2020-03-31,BNTX,58.4,62.0,57.0,59.86,243388
1037,2020-03-31,MRNA,29.95,30.98,29.2,30.6,6027880
1038,2020-03-30,AMZN,1963.95,1973.63,1912.34,1922.83,6126087
1039,2020-03-30,GOOGL,1146.31,1151.0,1098.4901,1132.64,2936827
1040,2020-03-30,FB,165.95,166.75,158.06,159.18,22515225
1041,2020-03-30,PFE,31.368000000000002,31.535,29.811999999999998,29.811999999999998,29589376
1042,2020-03-30,BNTX,62.0,64.45,59.04,60.0,591215
1043,2020-03-30,MRNA,30.48,31.69,28.27,30.59,10749923
1044,2020-03-27,AMZN,1900.1,1939.79,1899.92,1930.86,5387897
1045,2020-03-27,GOOGL,1110.26,1151.05,1104.0027,1127.47,3139661
1046,2020-03-27,FB,156.79,160.09,154.75,158.2,24879869
1047,2020-03-27,PFE,29.668000000000003,30.474,29.436999999999998,29.572,37837482
1048,2020-03-27,BNTX,55.0,55.4,51.32,54.83,246275
1049,2020-03-27,MRNA,30.05,31.09,27.95,28.37,12408297
1050,2020-03-26,AMZN,1955.49,1956.49,1889.29,1902.0,6235118
1051,2020-03-26,GOOGL,1162.92,1171.48,1092.03,1114.72,3834422
1052,2020-03-26,FB,163.34,164.0,157.0201,158.25,26579021
1053,2020-03-26,PFE,30.484,30.714000000000002,28.689,28.699,42768488
1054,2020-03-26,BNTX,55.0,55.75,50.0,52.0,472542
1055,2020-03-26,MRNA,27.94,28.79,27.56,27.56,5585886
1056,2020-03-25,AMZN,1885.84,1950.26,1885.78,1920.69,6479073
1057,2020-03-25,GOOGL,1101.62,1146.17,1083.01,1124.58,4516162
1058,2020-03-25,FB,156.21,162.99,153.06,158.92,35184271
1059,2020-03-25,PFE,28.563000000000002,29.495,27.844,28.324,44073744
1060,2020-03-25,BNTX,47.2,53.685,47.2,53.63,333373
1061,2020-03-25,MRNA,27.13,27.98,24.79,25.0,9651543
1062,2020-03-24,AMZN,1940.1,1955.0,1900.3403,1951.495,7147080
1063,2020-03-24,GOOGL,1130.01,1133.33,1086.43,1103.98,3623435
1064,2020-03-24,FB,160.98,161.31,152.57,155.205,30440369
1065,2020-03-24,PFE,28.516,28.851,27.748,28.333000000000002,43940855
1066,2020-03-24,BNTX,53.64,58.99,48.02,58.9,579733
1067,2020-03-24,MRNA,25.82,27.25,24.36,27.09,12550494
1068,2020-03-23,AMZN,1902.83,1919.4,1812.0,1827.75,7808489
1069,2020-03-23,GOOGL,1054.13,1066.91,1008.87,1056.37,4183629
1070,2020-03-23,FB,148.1,152.31,142.25,149.66,29830765
1071,2020-03-23,PFE,27.354,28.401,26.769000000000002,27.613000000000003,52227925
1072,2020-03-23,BNTX,51.31,59.98,50.31,59.0,994200
1073,2020-03-23,MRNA,26.57,29.81,26.25,28.71,11080845
1074,2020-03-20,AMZN,1846.09,1957.0,1820.73,1926.31,9817850
1075,2020-03-20,GOOGL,1068.21,1138.4783,1062.1,1130.9,4143897
1076,2020-03-20,FB,149.73,159.27,148.0,156.02,32568398
